Date,Open,High,Low,Close,Adj Close,Volume
"Sep 28, 2022",3651.94,3736.74,3640.61,3719.04,3719.04,4684850000
"Sep 27, 2022",3686.44,3717.53,3623.29,3647.29,3647.29,4577740000
"Sep 26, 2022",3682.72,3715.67,3644.76,3655.04,3655.04,4886140000
"Sep 23, 2022",3727.14,3727.14,3647.47,3693.23,3693.23,5144270000
"Sep 22, 2022",3782.36,3790.9,3749.45,3757.99,3757.99,4284600000
"Sep 21, 2022",3871.4,3907.07,3789.49,3789.93,3789.93,4078330000
"Sep 20, 2022",3875.23,3876.01,3827.54,3855.93,3855.93,4058050000
"Sep 19, 2022",3849.91,3900.45,3838.5,3899.89,3899.89,3766850000
"Sep 16, 2022",3880.95,3880.95,3837.08,3873.33,3873.33,7954650000
"Sep 15, 2022",3932.41,3959.14,3888.28,3901.35,3901.35,4441830000
"Sep 14, 2022",3940.73,3961.94,3912.18,3946.01,3946.01,4293240000
"Sep 13, 2022",4037.12,4037.12,3921.28,3932.69,3932.69,4224550000
"Sep 12, 2022",4083.67,4119.28,4083.67,4110.41,4110.41,3814200000
"Sep 09, 2022",4022.94,4076.81,4022.94,4067.36,4067.36,3901940000
"Sep 08, 2022",3959.94,4010.5,3944.81,4006.18,4006.18,3966850000
"Sep 07, 2022",3909.43,3987.89,3906.03,3979.87,3979.87,3890320000
"Sep 06, 2022",3930.89,3942.55,3886.75,3908.19,3908.19,4127340000
"Sep 02, 2022",3994.66,4018.43,3906.21,3924.26,3924.26,3665850000
"Sep 01, 2022",3936.73,3970.23,3903.65,3966.85,3966.85,4152250000
"Aug 31, 2022",4000.67,4015.37,3954.53,3955,3955,4542490000
